20140513T000000 46.18 46.24 45.53 45.66 967400 45.54
20140514T000000 45.09 45.3 44.48 44.53 1041800 44.41
20140515T000000 44.28 44.33 43.45 43.69 1456500 43.58
20140516T000000 42.98 43.7 42.92 43.54 1596900 43.43
20140519T000000 43.88 44.25 43.75 43.94 1262700 43.83
20140520T000000 43.73 43.73 42.27 42.83 3359100 42.72
20140521T000000 43.47 44.4 43.38 44.35 5822300 44.23
20140522T000000 44.46 45.12 44.35 44.97 1307200 44.85
20140523T000000 44.53 44.91 44.27 44.88 984200 44.76
20140527T000000 45.91 46.66 45.9 46.63 1429700 46.51
20140528T000000 46.58 46.66 45.94 46.16 903800 46.04
20140529T000000 46.03 46.3 45.72 45.95 546100 45.83
20140530T000000 46.48 46.55 45.97 46.2 1042700 46.08
20140602T000000 46.27 46.37 45.66 46.08 688700 45.96
20140603T000000 45.77 46.15 45.56 45.81 1354300 45.69
20140604T000000 45.42 46.09 45.36 45.99 588000 45.87
20140605T000000 45.53 45.8 44.5 44.86 1629500 44.74
20140606T000000 45.46 45.53 45.04 45.15 1610100 45.03
20140609T000000 45.5 45.94 45.44 45.59 1042700 45.47
20140610T000000 45.68 45.8 45.39 45.52 965300 45.4
20140611T000000 45.4 45.72 45.26 45.58 586200 45.46
20140612T000000 45.18 45.65 45.05 45.21 868200 45.09
20140613T000000 45.0 45.2 44.53 44.93 674800 44.81
20140616T000000 45.18 45.39 44.97 45.2 741800 45.08
20140617T000000 45.05 45.64 45.03 45.51 1003100 45.39
20140618T000000 45.68 45.74 45.02 45.53 938700 45.41
20140619T000000 46.0 46.07 45.42 45.79 1085200 45.67
20140620T000000 45.91 45.91 45.28 45.64 1001100 45.52
20140623T000000 46.39 46.64 46.07 46.58 1502600 46.46
20140624T000000 46.38 46.48 45.5 45.59 960900 45.47
20140625T000000 45.1 45.27 44.93 45.13 839400 45.01
20140626T000000 44.7 44.89 44.29 44.83 1027200 44.71
20140627T000000 44.61 45.28 44.6 45.22 514900 45.1
20140630T000000 44.9 45.35 44.89 45.24 1072400 45.12
20140701T000000 45.87 46.21 45.73 46.02 1146000 45.9
20140702T000000 46.29 46.69 46.12 46.54 701900 46.42
20140703T000000 46.9 47.28 46.8 47.25 432800 47.13
20140707T000000 46.78 46.93 46.17 46.25 579000 46.13
20140708T000000 45.68 45.68 44.8 45.35 796000 45.23
20140709T000000 44.6 44.86 44.14 44.68 1336600 44.56
20140710T000000 43.69 43.9 43.5 43.6 1565800 43.49
20140711T000000 43.6 43.73 43.05 43.23 2061700 43.12
20140714T000000 43.71 43.77 43.23 43.37 860500 43.26
20140715T000000 43.24 43.45 42.63 42.89 1424300 42.78
20140716T000000 43.98 43.98 43.68 43.7 1602100 43.59
20140717T000000 43.39 43.46 41.89 42.05 2326600 41.94
20140718T000000 42.35 42.77 42.24 42.36 3502100 42.25
20140721T000000 42.91 42.98 42.32 42.57 2814000 42.46
20140722T000000 44.36 45.8 44.28 45.55 4779200 45.43
20140723T000000 45.86 45.86 44.34 44.65 2295400 44.53
20140724T000000 44.23 44.54 43.9 44.32 1632500 44.2
20140725T000000 44.58 44.6 43.68 43.77 1290400 43.66
20140728T000000 43.26 43.29 42.61 43.1 1412300 42.99
20140729T000000 42.95 43.33 42.52 42.53 1300000 42.42
20140730T000000 42.81 43.58 42.78 43.51 1804900 43.4
20140731T000000 42.59 43.24 42.45 42.76 1637700 42.65
20140801T000000 42.58 43.27 42.51 43.04 1615500 42.93
20140804T000000 42.61 42.93 42.55 42.85 1942700 42.74
20140805T000000 42.55 42.77 42.24 42.45 2569000 42.34
20140806T000000 42.32 43.45 42.3 43.43 1803200 43.32
20140807T000000 44.14 44.7 43.39 43.57 2800200 43.46
20140808T000000 44.45 45.46 44.22 45.43 2071400 45.31
20140811T000000 44.86 45.49 44.83 45.29 2019100 45.17
20140812T000000 45.13 45.4 45.09 45.33 1409900 45.21
20140813T000000 45.07 45.13 44.74 44.97 1214600 44.85
20140814T000000 45.32 45.48 45.21 45.4 822300 45.28
